Species,AdultBodyMass_g,BasalMetRateMass_g,LitterSize,GestationLen_d,HomeRange_km2
Petrogale_penicillata,6960,NA,1,30.89,NA
Petrogale_persephone,5630,NA,1,32,NA
Petrogale_rothschildi,4550,NA,NA,NA,NA
Petrogale_xanthopus,8500,NA,1,32.61,NA
Petropseudes_dahli,1880,NA,1,NA,NA
Phalanger_carmelitae,1820,NA,1.03,NA,NA
Phalanger_lullulae,1630,NA,1.03,NA,NA
Phalanger_matanim,1440,NA,1.03,NA,NA
Phalanger_orientalis,2000,NA,2,NA,NA
Phalanger_ornatus,1790,NA,NA,NA,NA
Phalanger_pelengensis,NA,NA,NA,NA,NA
Phalanger_rothschildi,1370,NA,NA,NA,NA
Phalanger_sericeus,2000,NA,1.03,NA,NA
Phalanger_vestitus,1850,NA,1.01,NA,NA
Phascogale_calura,44.3,NA,7.49,29.49,0.03
Phascogale_tapoatafa,195,152,6.89,28.22,NA
Phascolarctos_cinereus,6580,4732.5,1,34.29,0.01
Phascolosorex_doriae,NA,NA,NA,NA,NA
Phascolosorex_dorsalis,125,NA,3.39,NA,NA
Philander_andersoni,325,NA,NA,NA,NA
Philander_opossum,428,751,4.75,NA,0.00307
Planigale_gilesi,9.44,9.45,6.1,15.74,NA
Planigale_ingrami,6.44,7.05,7.48,NA,NA
Planigale_maculata,12.3,12.05,8,19.74,NA
Planigale_novaeguineae,14.9,NA,NA,NA,NA
Planigale_tenuirostris,6.37,NA,5.99,19,NA
Potorous_longipes,1840,NA,1,37.99,0.29
Potorous_platyops,500,NA,NA,NA,NA
Potorous_tridactylus,1090,1077.5,1,35.02,NA
Pseudantechinus_macdonnellensis,37.9,43,5.88,44.72,NA
Pseudantechinus_ningbing,21,NA,3.99,46.71,NA
Pseudantechinus_woolleyae,43.8,NA,5.99,NA,NA
Pseudocheirus_canescens,300,NA,2.58,NA,NA
Pseudocheirus_caroli,458,NA,NA,NA,NA
Pseudocheirus_forbesi,642,NA,1.03,NA,NA
Pseudocheirus_herbertensis,1100,NA,1.8,NA,NA
Pseudocheirus_mayeri,152,NA,1.03,NA,NA
Pseudocheirus_peregrinus,894,916,1.94,NA,0.00949
Pseudocheirus_schlegeli,256,NA,NA,NA,NA
Pseudochirops_albertisii,819,NA,1.03,NA,NA
Pseudochirops_archeri,1150,NA,1.03,NA,NA
Pseudochirops_corinnae,1120,NA,1.03,NA,NA
Pseudochirops_cupreus,1770,NA,1.03,NA,NA
Rhyncholestes_raphanurus,21.2,NA,NA,NA,NA
Rhynchomeles_prattorum,NA,NA,NA,NA,NA
Sarcophilus_laniarius,8350,5775,2.83,20.99,NA
Setonix_brachyurus,3030,2600,1,27.49,NA
Sminthopsis_aitkeni,22.5,NA,NA,NA,NA
Sminthopsis_archeri,16,NA,7.35,NA,NA
Sminthopsis_butleri,25,NA,NA,NA,NA
Sminthopsis_crassicaudata,16.3,14.95,7.14,16,NA
Sminthopsis_dolichura,14.6,NA,7.19,NA,NA
Sminthopsis_douglasi,55,NA,6.78,NA,NA
Sminthopsis_fuliginosus,NA,NA,NA,NA,NA
Sminthopsis_gilberti,19.5,NA,NA,NA,NA
Sminthopsis_granulipes,25,NA,NA,NA,NA
Sminthopsis_griseoventer,17.5,NA,NA,NA,NA
Sminthopsis_hirtipes,15,NA,NA,NA,NA
Sminthopsis_laniger,26.1,24.9,5.99,11.74,NA
Sminthopsis_leucopus,24,NA,8,17.32,0.00891
Sminthopsis_longicaudata,18,NA,4.24,14.19,NA
Sminthopsis_macroura,24,22,6.48,11.72,NA
Sminthopsis_murina,17,12.9,8,12.5,NA
Sminthopsis_ooldea,12.4,NA,6.99,20.88,NA
Sminthopsis_psammophila,33.5,NA,5.49,NA,NA
Sminthopsis_virginiae,35.3,NA,4.11,16.32,NA
Sminthopsis_youngsoni,11.3,NA,5.49,NA,NA
Spilocuscus_maculatus,4060,4250,1.03,13,NA
Spilocuscus_rufoniger,6000,NA,1.03,NA,NA
Strigocuscus_celebensis,NA,NA,NA,NA,NA
Strigocuscus_gymnotis,2610,NA,1.03,13,NA
Tachyglossus_aculeatus,4500,2860,1,17.77,0.44
Tarsipes_rostratus,9.74,10,2.79,61.35,0.00082
Thylacinus_cynocephalus,30000,NA,2.99,NA,NA
Thylamys_elegans,28.9,NA,10.6,NA,0.000704
Thylamys_macrura,34.6,NA,NA,NA,NA
Thylamys_pallidior,15.4,NA,NA,NA,NA
Thylamys_pusilla,28.3,NA,NA,NA,NA
Thylamys_velutinus,20.7,NA,NA,NA,0.02
Thylogale_billardierii,5840,NA,1,30.2,NA
Thylogale_brunii,5480,NA,1.01,NA,NA
Thylogale_stigmatica,4540,NA,1,29,0.02
Thylogale_thetis,5400,4400,1,NA,0.1
Trichosurus_arnhemensis,1550,NA,1.01,NA,NA
Trichosurus_caninus,3140,NA,1.03,16.2,0.02
Trichosurus_vulpecula,2700,1982,1.03,17.5,0.03
Vombatus_ursinus,26000,NA,1,29.99,0.08
Wallabia_bicolor,15000,NA,1,35.88,0.11
Wyulda_squamicaudata,1810,NA,1,NA,NA
Zaglossus_bruijni,8950,10700,1,10,NA
