Family,CName,SName,Status04,Range,Mass,Clutch,ElevRange
Cracidae,Chestnut-bellied Guan,Penelope ochrogaster,3 (VU),596447,NA,2,500
Cracidae,Baudo Guan,Penelope ortoni,4 (EN),147227,NA,3.25,1400
Cracidae,Cauca Guan,Penelope perspicax,4 (EN),17978,NA,2,800
Cracidae,White-crested Guan,Penelope pileata,2 (NT),104101,1100,3,500
Cracidae,Crested Guan,Penelope purpurascens,1 (LC),2078446,2060,2,2300
Cracidae,Rusty-margined Guan,Penelope superciliaris,1 (LC),6737262,850,3,1100
Cracidae,Highland Guan,Penelopina nigra,2 (NT),137300,890,2,2400
Phasianidae,Rock Bush-Quail,Perdicula argoondah,1 (LC),1098140,62,5.5,600
Phasianidae,Jungle Bush-Quail,Perdicula asiatica,1 (LC),2633878,69.5,5.5,1200
Phasianidae,Painted Bush-Quail,Perdicula erythrorhyncha,1 (LC),1029412,77.5,5.5,1400
Phasianidae,Manipur Bush-Quail,Perdicula manipurensis,3 (VU),223502,71,4,1000
Phasianidae,Daurian Partridge,Perdix dauurica,1 (LC),7566742,297,19,3000
Phasianidae,Tibetan Partridge,Perdix hodgsoniae,1 (LC),2302661,450,9,2000
Phasianidae,Grey Partridge,Perdix perdix,1 (LC),8505463,398,16,NA
Phasianidae,Common Pheasant,Phasianus co1 (LC)hicus,1 (LC),7178215,1317,10.5,3400
Phasianidae,Banded Quail,Philortyx fasciatus,1 (LC),242547,130,5.5,1500
Cracidae,Red-throated Piping-Guan,Pipile cujubi,1 (LC),1710722,1275,3.25,NA
Cracidae,Blue-throated Piping-Guan,Pipile cumanensis,1 (LC),3612603,1250,3,2000
Cracidae,Black-fronted Piping-Guan,Pipile jacutinga,4 (EN),509691,1250,2.5,1850
Cracidae,Trinidad Piping-Guan,Pipile pipile,5 (CR),4268,1450,2,500
Phasianidae,Grey Peacock-Pheasant,Polyplectron bica1 (LC)aratum,1 (LC),1301662,725,2,1800
Phasianidae,Bronze-tailed Peacock-Pheasant,Polyplectron cha1 (LC)urum,1 (LC),121847,508,2,900
Phasianidae,Palawan Peacock-Pheasant,Polyplectron emphanum,3 (VU),10001,436,2,600
Phasianidae,Germain's Peacock-Pheasant,Polyplectron germaini,3 (VU),90970,510,1.5,1220
Phasianidae,Mountain Peacock-Pheasant,Polyplectron inopinatum,3 (VU),24955,NA,2,1100
Phasianidae,Malaysian Peacock-pheasant,Polyplectron malacense,3 (VU),191014,633,1,150
Phasianidae,Bornean Peacock-Pheasant,Polyplectron schleiermacheri,4 (EN),493651,NA,1,1000
Phasianidae,Stone Partridge,Ptilopachus petrosus,1 (LC),6952741,190,5,900
Phasianidae,Koklass Pheasant,Pucrasia macrolopha,1 (LC),1812538,1184,6,2000
Phasianidae,Crested Argus,Rheinardia ocellata,3 (VU),28125,NA,2,1900
Phasianidae,Long-billed Partridge,Rhizothera longirostris,2 (NT),1065376,800,3.5,1500
Phasianidae,Tawny-faced Quail,Rhynchortyx cinctus,1 (LC),353050,150,NA,1410
Phasianidae,Crested Partridge,Rollulus rouloul,2 (NT),1332915,232,5.5,1200
Phasianidae,Elliot's Pheasant,Syrmaticus ellioti,3 (VU),73421,1156,6.5,1200
Phasianidae,Hume's Pheasant,Syrmaticus humiae,3 (VU),342490,1022,9,1660
Phasianidae,Mikado Pheasant,Syrmaticus mikado,2 (NT),35134,1300,7.5,1700
Phasianidae,Reeves's Pheasant,Syrmaticus reevesii,3 (VU),926423,1529,7.5,2400
Phasianidae,Copper Pheasant,Syrmaticus soemmerringii,2 (NT),264709,907,7,1500
Megapodiidae,Red-billed Brush-turkey,Talegalla cuvieri,1 (LC),87383,1785,NA,1600
Megapodiidae,Black-billed Brush-turkey,Talegalla fuscirostris,1 (LC),307393,1000,NA,800
Megapodiidae,Brown-collared Brush-turkey,Talegalla jobiensis,1 (LC),260445,1559,16,1800
Tetraonidae,Black-billed Capercaillie,Tetrao parvirostris,1 (LC),5397872,3640,6.5,NA
Tetraonidae,Black Grouse,Tetrao tetrix,1 (LC),12749121,1255,8,3000
Tetraonidae,Western Capercaillie,Tetrao urogallus,1 (LC),9933490,4100,7.5,NA
Phasianidae,Altai Snowcock,Tetraogallus altaicus,1 (LC),585882,3000,8.2,4100
Phasianidae,Caspian Snowcock,Tetraogallus caspius,1 (LC),335860,2592,7,2200
Phasianidae,Caucasian Snowcock,Tetraogallus caucasicus,1 (LC),154383,1834,6.5,2200
Phasianidae,Himalayan Snowcock,Tetraogallus himalayensis,1 (LC),2891897,2428,8,670
Phasianidae,Tibetan Snowcock,Tetraogallus tibetanus,1 (LC),4235469,1625,4.5,2100
Phasianidae,Chestnut-throated Partridge,Tetraophasis obscurus,1 (LC),523690,938,4,1100
Phasianidae,Buff-throated Partridge,Tetraophasis szechenyii,1 (LC),370264,1260,NA,1300
Phasianidae,Blyth's Tragopan,Tragopan blythii,3 (VU),159469,1930,3.5,1500
Phasianidae,Cabot's Tragopan,Tragopan caboti,3 (VU),192663,1400,4,600
Phasianidae,Western Tragopan,Tragopan melanocephalus,3 (VU),142740,2025,4.5,1600
Phasianidae,Satyr Tragopan,Tragopan satyra,2 (NT),232465,1850,2.5,2150
Phasianidae,Temminck's Tragopan,Tragopan temminckii,1 (LC),870369,1404,4,2745
Tetraonidae,Greater Prairie-Chicken,Tympanuchus cupido,3 (VU),419572,1014,10.5,1524
Tetraonidae,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,3 (VU),115195,784,11,975
Tetraonidae,Sharp-tailed Grouse,Tympanuchus phasianellus,1 (LC),3865637,999,12,3109
Phasianidae,Udzungwa Forest-partridge,Xenoperdix udzungwensis,4 (EN),13877,953,NA,550
